Month,Year,Type,Country,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
Oct,1990,Unprovoked,USA,"Stuart Beach, Martin County",Surfing,M,19,Superficial injuries to left foot & ankle,N,12h30,
Sep,1990,Unprovoked,South Africa,Oudekraal,Spearfishing,M,26,Right hand lacerated,N,13h20,White shark
Sep,1990,Unprovoked,USA,"Russian Gulch, Jenner, Sonoma County","Free diving / spearfishing, from paddleboard & floating on the surface",M,49,"Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck",N,13h00,White shark
Sep,1990,,USA,"Trinidad State Beach, Humboldt County",Kayaking,M,44,"No injury, kayak capsized",N,17h00,White shark
Aug,1990,Unprovoked,USA,"Trinidad Head, Humboldt County",Surfing,M,22,4 punctures on leg & board bitten,N,16h50,White shark
Aug,1990,Unprovoked,USA,"Near Port Aransas, Nueces County",Wade fishing,M,18,Minor injury,N,13h30,
Jul,1990,Unprovoked,USA,"Mustang Island State Park, Nueces County",Wading,F,53,10-inch laceration to right foot,N,Evening,
Jun,1990,Unprovoked,South Africa,Mossel Bay,Scuba diving (but on surface),F,21,"FATAL, thigh bitten  ",Y,15h45,White shark
Jun,1990,Unprovoked,Bahamas,Bimini,Spearfishing,M,38,Left forearm bitten,N,14h30,
May,1990,Unprovoked,Australia,Outer Barrier Reef near Port Douglas,Snorkeling,F,30,Lacerations,N,,
May,1990,Unprovoked,Australia,Outer Barrier Reef near Port Douglas,"Snorkeling, possibly holding a fish",M,30,Lacerations,N,,
May,1990,Unprovoked,South Africa,Cintsa East,Resting on surfboard,M,22,Thigh severely lacerated,N,12h00,White shark
Apr,1990,Unprovoked,South Africa,Cape Recife,Lying on surfboard & paddling,M,23,Leg bitten,N,14h00,White shark
Apr,1990,Unprovoked,Australia,Greenmount Beach,Surfing,M,31,"Lacerations & abrasions, board bitten in half",N,05h40,Tiger shark
Apr,1990,Unprovoked,Australia,Fingal Beach,Surfing,M,29,"No injury, board bitten",N,,
Mar,1990,Unprovoked,Reunion,Baie de la Mare,Surfing,M,,Survived,N,17h45,Bull shark
Feb,1990,Unprovoked,USA,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",Scuba diving & spearfishing,M,,Right arm severed  FATAL,Y,21h30,
Nov,1989,Unprovoked,Australia,Kilcunda,Surfing,M,32,Thigh bitten,N,,White shark
Nov,1989,Unprovoked,South Africa,Melkbosstrand,Free diving & spearfishing,M,29,FATAL,Y,12h05,White shark
Nov,1989,Unprovoked,Australia,Mermaid Waters,Swimming in canal,M,10,Left ankle broken & lacerated,N,,
Oct,1989,Unprovoked,Australia,Shelly Point ,Surfing,M,17,"No injury, board bitten",N,14h20,White shark
Oct,1989,Unprovoked,USA,Surfside Beach,Surfing,M,12,Foot & leg bitten,N,Evening,
Oct,1989,,USA,"Between Wrightsville Beach & Carolina Beach, New Hanover County",Diving,M,49,FATAL,,Late afternoon,
Sep,1989,Unprovoked,South Africa,"Smitswinkel, False Bay",Free diving,M,29,Chest lacerated,N,14h30,White shark
Sep,1989,Provoked,USA,"Gulf of Mexico, 22 miles from Pensacola","Fishing, stepped on hooked shark's head",M,51,Bitten by hooked shark PROVOKED INCIDENT,N,Afternoon,
Sep,1989,Unprovoked,USA,"Southeast Farallon Island, Farallon Islands",Hookah diving for abalone (descending),M,38,Leg bitten,N,12h30,White shark
Sep,1989,Unprovoked,USA,"Salvo, Dare County",Surfing,M,31,Non-fatal,N,,Sandbar shark
Sep,1989,Provoked,USA,24 km off Santa Catalina Island in the Channel Islands,Filming 5' blue shark,M,46,Hand  & both arms bitten   PROVOKED INCIDENT,N,,
Aug,1989,Provoked,Australia,SeaWorld Theme Park,Feeding fish,M,30,Left leg bitten by captive shark                   PROVOKED INCIDENT,N,Afternoon,Nurse shark
Aug,1989,Unprovoked,USA,"St Augustine, St Johns County",Swimming,M,21,3 wounds on left hand,N,,
Aug,1989,Unprovoked,South Africa,Mossel Bay,Surfing,M,21,Multiple Injuries,N,10h45,White shark
Aug,1989,Unprovoked,Australia,Lennox Head,Surfing,M,17,"No injury, shark took chunk out of surfboard",N,06h30,Whaler shark
Aug,1989,Provoked,Australia,Moreton Bay,Fishing for sharks,M,41,Laceration to arm  PROVOKED INCIDENT,N,,White shark
Jul,1989,Unprovoked,South Africa,Jeffreys Bay,Surfing,M,34,Torso bitten,N,10h35,White shark
Jul,1989,Unprovoked,USA,"Cocoa Beach, Brevard County",Surfing,M,16,5-inch gash on left leg,N,Afternoon,
Jul,1989,Unprovoked,USA,"Sargent Beach, Matagorda County",Playing ,F,9,Leg bitten,N,,
Jun,1989,Unprovoked,USA,40 miles off Cocodrie,Spearfishing,M,45,Puncture wounds & lacerations to both legs,N,,Sandtiger shark
Jun,1989,Unprovoked,Italy,"Marinella, between Punta Blanca & Marine del Carrara ",Windsurfing (urinating on his board),M,,Upper right thigh bitten,N,15h30,White shark
Jun,1989,Unprovoked,South Africa,Jeffreys Bay,Surfing,M,16,"No injury, board bitten",N,16h15,White shark
Jun,1989,Unprovoked,South Africa,Gonubie,Free diving,M,28,Forearm bitten,N,15h30,White shark
Apr,1989,Unprovoked,USA,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming,M,19,Right calf bitten,N,,
Apr,1989,Unprovoked,USA,"Pacific Beach, Grays Harbor County",Surfing (lying prone on his board),M,,Forearm bitten,N,10h45,White shark
Mar,1989,Unprovoked,Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",Surfing,M,27,Thigh bitten FATAL,Y,20h15,White shark
Feb,1989,Unprovoked,South Africa,Richards Bay,Windsurfing,M,26,Foot bruised & minor lacerations,N,13h30,
Feb,1989,Unprovoked,Italy,"Golfo di Baratti, near Piombino (Tuscany)","Scuba diving, but swimming on surface",M,47,FATAL. His body not recovered,Y,10h25,White shark
Jan,1989,,USA,"Latigo Point / Paradise Cove, west of Malibu, Los Angeles County",Kayaking,M,24,Reported by media as shark attack but forensic evidence indicated the kayaker died prior to any shark involvement,,10h15,
Jan,1989,Unprovoked,USA,"Latigo Point / Paradise Cove,west of Malibu, Los Angeles County",Kayaking,F,24,"FATAL, thigh bitten, hands lacerated  ",Y,10h15,White shark
Jan,1989,Unprovoked,USA,"Waialua Beach, Moloka'i",Body boarding,M,10,Foot bitten,N,,Hammerhead shark
Jan,1989,Unprovoked,South Africa,Isipingo,Lifesaving drill,M,19,Thigh bitten,N,18h00,
Jan,1989,Unprovoked,Australia,"Half Tide Beach, Evans Head",Surfing with dolphins,M,17,"Abdomen lacerated, surfboard holed",N,17h15,Tiger shark
Nov,1988,Unprovoked,Australia,"Off North Keppel Island, off Yeppoon","The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",M,17,"FATAL  When James Coucom, the lone survivor, was rescued, ""2 sharks were pounding on the dinghy""",Y,Early morning,
Nov,1988,Unprovoked,Australia,"Off North Keppel Island, off Yeppoon","The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",M,62,FATAL,Y,Nightfall,
Oct,1988,Unprovoked,USA,"Indian Beach, Ecola State Park, just north of Cannon Beach, Clatsop County ",Surfing (sitting on his board),M,21,Leg bitten & femur fractured,N,17h30,White shark
Oct,1988,Unprovoked,Australia,Phillip Island,Surfing,M,38,Lacerations to right leg,N,,
Oct,1988,Unprovoked,USA,"Boca Raton, Palm Beach County",Surfing,M,15,Lacerations to left thigh,N,,
Oct,1988,Unprovoked,USA,"Fort Pierce, St. Lucie County ",Surfing,M,30,Left leg lacerated,N,X,
Oct,1988,Unprovoked,USA,"Playalinda, Brevard County",Surfing,M,23,Hand lacerated,N,18h30,
Oct,1988,Unprovoked,Australia,Moama Beach,Surfing,M,15,Lower right  leg lacerated,N,Afternoon,
Sep,1988,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,21,Lacerations to foot,N,Afternoon,
Sep,1988,Unprovoked,USA,"Shell Island Panama City Beach, Bay County",Walking,F,,Dennis' hand injured; Ann's right forearm bitten,N,15h45,
Sep,1988,Unprovoked,USA,"Shell Island Panama City Beach, Bay County",Snorkeling,M,38,"FATAL, thigh & hand lacerated",Y,15h00,Bull shark
Aug,1988,Unprovoked,USA,"Klamath River, Del Norte County",Surfing,M,27,Thigh bitten,N,09h30,White shark
Jul,1988,Unprovoked,USA,"Jensen Beach, Martin County",Swimming,F,15,Punctures & deep scratches to foot & buttock,N,10h30,
Jul,1988,Unprovoked,USA,"New Smyrna Beach, Volusia County",Boogie boarding,M,37,Punctures to lower left leg & foot,N,Afternoon,
Jun,1988,Unprovoked,South Africa,Sculphoek,Spearfishing,M,36,Left arm lacerated,N,09h45,White shark
Jun,1988,Unprovoked,USA,"Ocracoke, Hyde County",Scuba diving,M,42,Survived,N,,Sandtiger shark
Jun,1988,Unprovoked,USA,"Sea Pines Beach Club, Hilton Head, Beaufort County",Sittting in water with his child,M,37,Left leg bitten,N,16h00,Sand shark
Jun,1988,Unprovoked,USA,"Daytona Beach, Volusia County",Swimming,M,12,Four lacerations to his ankle,N,12h00,
Jun,1988,Unprovoked,USA,"Daytona Beach, Volusia County",Surfing,M,25,Cuts to right foot and ankle,N,08h57,
